SGAN;Presentación;Peso Neto (kg);Tipo;Categoría;Regional;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;Septiembre;Octubre;Noviembre;Diciembre;Target Market;Tipo ABC;Septiembre;Octubre;Noviembre;Diciembre
S3071;KG;1;FERT;YBLK;PEREIRA;17.100;0;0;0;0;3.300;3.400;3.400;3.400;3.400;CONCRETE.;A;0;0;1.599;1.891
S3071;KG;1;FERT;YBLK;ORIENTE;6.000;9.000;0;6.000;0;0;3.500;3.500;3.500;3.500;CONCRETE.;A;0;0;4.203;4.971
S3071;KG;1;FERT;YBLK;MEDELLÍN;7.500;0;0;3.300;0;0;1.800;1.800;1.800;1.800;CONCRETE.;A;0;0;1.554;1.838
S3071;KG;1;FERT;YBLK;CALI;0;0;273;4.500;0;0;1.500;1.500;1.500;1.500;CONCRETE.;A;0;0;922;1.090
S3071;KG;1;FERT;YBLK;BOGOTÁ;0;0;3.000;0;0;3.090;1.030;1.030;1.030;1.030;CONCRETE.;A;0;0;335;396
S3814;KG;1;FERT;YBLK;BOGOTÁ;0;33.000;45.900;73.500;106.200;101.400;93.700;93.700;93.700;93.700;CONCRETE.;C;105.000;105.000;91.480;91.115
S3814;KG;1;FERT;YBLK;BARRANQUILLA;0;0;90;3.000;6.000;-3.000;2.000;2.000;2.000;2.000;CONCRETE.;C;0;9.000;2.310;2.301
S3814;KG;1;FERT;YBLK;MEDELLÍN;0;0;300;0;0;0;50;50;50;50;CONCRETE.;C;0;9.000;76;76
S954;PC;0,471;FERT;NORM;BOGOTÁ;24.621;25.593;1.737;28.374;24.804;60.969;38.049;38.049;38.049;38.049;SEALING & BONDING;A;16.382;24.659;45.686;38.002
S954;PC;0,471;FERT;NORM;PEREIRA;7.056;3.294;3.330;6.957;2.232;3.600;4.412;4.412;4.412;4.412;SEALING & BONDING;A;3.609;4.798;8.889;7.394
S954;PC;0,471;FERT;NORM;ORIENTE;2.484;2.628;576;9.576;6.018;6.867;7.487;7.487;7.487;7.487;SEALING & BONDING;A;2.747;3.736;6.922;5.758
S954;PC;0,471;FERT;NORM;CALI;3.030;2.619;792;3.888;4.329;4.515;4.244;4.244;4.244;4.244;SEALING & BONDING;A;2.264;3.104;5.750;4.783
S954;PC;0,471;FERT;NORM;MEDELLÍN;2.538;1.620;828;2.088;1.620;2.484;2.064;2.064;2.064;2.064;SEALING & BONDING;A;1.022;1.408;2.608;2.169
S954;PC;0,471;FERT;NORM;SANTANDER;288;3.108;234;648;36;0;719;719;719;719;SEALING & BONDING;A;602;790;1.464;1.217
S954;PC;0,471;FERT;NORM;BARRANQUILLA;558;54;33;0;216;324;198;198;198;198;SEALING & BONDING;A;108;144;266;222
S2085;KG;1;FERT;YBLK;SANTANDER;55.560;21.900;80.760;34.290;60.000;62.400;52.485;52.485;52.485;52.485;CONCRETE.;A;75.000;75.000;61.915;62.241
S2085;KG;1;FERT;YBLK;MEDELLÍN;0;0;0;0;240;6.210;2.150;2.150;2.150;2.150;CONCRETE.;A;25;779;770;774
S2085;KG;1;FERT;YBLK;CALI;0;0;0;0;0;0;0;0;0;0;CONCRETE.;A;0;0;1.672;1.681
S2085;KG;1;FERT;YBLK;PEREIRA;0;0;0;0;0;0;0;0;0;0;CONCRETE.;A;0;0;1.504;1.512
S2085;KG;1;FERT;YBLK;ORIENTE;0;0;0;0;0;150;50;50;50;50;CONCRETE.;A;0;18;18;18
S517;PC;0,274;HAWA;NORM;BOGOTÁ;17.832;17.784;7.848;6.723;13.224;18.348;13.627;13.627;13.627;13.627;SEALING & BONDING;A;12.620;12.584;18.742;11.500
S517;PC;0,274;HAWA;NORM;ORIENTE;7.404;8.580;8.568;5.904;3.852;9.432;7.290;7.290;7.290;7.290;SEALING & BONDING;A;7.329;6.706;9.987;6.128
S517;PC;0,274;HAWA;NORM;MEDELLÍN;5.706;5.322;4.521;5.736;6.612;6.531;6.293;6.293;6.293;6.293;SEALING & BONDING;A;4.633;4.335;6.455;3.961
S517;PC;0,274;HAWA;NORM;CALI;5.220;1.944;1.944;3.024;2.916;6.660;4.200;4.200;4.200;4.200;SEALING & BONDING;A;3.954;3.834;5.709;3.503
S517;PC;0,274;HAWA;NORM;SANTANDER;6.408;3.810;4.449;1.836;360;360;2.871;2.871;2.871;2.871;SEALING & BONDING;A;4.560;4.229;6.298;3.864
S517;PC;0,274;HAWA;NORM;PEREIRA;2.088;2.448;4.518;1.725;1.080;1.908;2.295;2.295;2.295;2.295;SEALING & BONDING;A;2.415;2.282;3.398;2.085
S517;PC;0,274;HAWA;NORM;BARRANQUILLA;2.520;5.790;1.971;1.293;1.806;1.680;2.510;2.510;2.510;2.510;SEALING & BONDING;A;2.143;1.946;2.898;1.778
S1277;KG;1;FERT;YBLK;MEDELLÍN;42.600;57.600;49.800;53.400;31.200;29.400;44.000;44.000;44.000;44.000;CONCRETE.;A;29.436;25.291;24.032;22.837
S1277;KG;1;FERT;YBLK;PEREIRA;0;0;0;0;0;0;0;0;0;0;CONCRETE.;A;0;0;1.193;1.134
S278;KG;1;FERT;YBLK;SANTANDER;53.100;42.000;40.500;45.000;43.500;33.600;42.950;42.950;42.950;42.950;CONCRETE.;B;45.000;45.000;50.781;62.045
S278;KG;1;FERT;YBLK;MEDELLÍN;0;0;0;0;0;0;0;0;0;0;CONCRETE.;B;0;0;351;428
S3499;KG;1;FERT;YBLK;CALI;21.900;9.900;25.500;29.400;30.300;39.000;32.900;32.900;32.900;32.900;CONCRETE.;B;16.500;16.500;32.853;30.610
S3499;KG;1;FERT;YBLK;BARRANQUILLA;9.690;9.000;35.670;6.000;46.050;19.770;23.940;23.940;23.940;23.940;CONCRETE.;B;15.000;15.000;19.846;18.491
S3499;KG;1;FERT;YBLK;PEREIRA;1.200;1.800;0;0;5.400;3.000;2.800;2.800;2.800;2.800;CONCRETE.;B;0;0;2.712;2.527
S2857;PC;50;FERT;NORM;CALI;31.875;19.806;27.696;22.665;25.206;19.500;24.458;24.458;24.458;24.458;BUILDING FINISHING;A;28.086;21.392;21.392;21.392
