SGAN;Presentación;Peso Neto (kg);Tipo;Categoría;Regional;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;Marzo;Abril;Mayo;Junio;Target Market;Tipo ABC;Marzo;Abril;Mayo;Junio
S1226;KG;1;FERT;YBLK;BOGOTÁ;18.000;18.000;18.000;24.000;33.000;33.000;30.000;30.000;30.000;30.000;CONCRETE.;A;18.000;18.000;18.000;44.360
S1226;KG;1;FERT;YBLK;CALI;23.100;22.500;17.700;22.800;19.830;33.600;25.410;25.410;25.410;25.410;CONCRETE.;A;21.000;21.000;21.000;18.966
S1226;KG;1;FERT;YBLK;ORIENTE;6.000;9.000;3.000;0;6.015;0;4.003;4.003;4.003;4.003;CONCRETE.;A;3.000;3.000;3.000;7.245
S1226;KG;1;FERT;YBLK;PEREIRA;0;0;0;0;0;6.300;2.100;2.100;2.100;2.100;CONCRETE.;A;0;0;0;1.203
S1226;KG;1;FERT;YBLK;SANTANDER;0;0;0;0;0;60;20;20;20;20;CONCRETE.;A;1;6;6;6
S1226;KG;1;FERT;YBLK;BARRANQUILLA;0;0;0;0;0;0;0;0;0;0;CONCRETE.;A;0;0;0;1.179
S947;PC;0,471;FERT;NORM;BOGOTÁ;18.681;50.130;74.427;12.819;26.109;65.241;41.235;41.235;41.235;41.235;SEALING & BONDING;A;29.637;35.061;48.382;41.180
S947;PC;0,471;FERT;NORM;ORIENTE;11.808;14.304;19.428;9.720;11.145;12.672;13.180;13.180;13.180;13.180;SEALING & BONDING;A;7.823;9.112;12.574;10.702
S947;PC;0,471;FERT;NORM;PEREIRA;9.504;8.679;14.499;5.364;8.640;12.276;9.827;9.827;9.827;9.827;SEALING & BONDING;A;2.157;2.157;2.157;7.703
S947;PC;0,471;FERT;NORM;CALI;5.760;10.728;11.316;1.908;4.500;8.064;7.046;7.046;7.046;7.046;SEALING & BONDING;A;3.875;4.607;6.357;5.411
S947;PC;0,471;FERT;NORM;MEDELLÍN;2.268;1.728;2.052;1.224;1.980;1.728;1.830;1.830;1.830;1.830;SEALING & BONDING;A;2.700;3.000;3.000;3.000
S947;PC;0,471;FERT;NORM;SANTANDER;0;0;72;0;0;0;12;12;12;12;SEALING & BONDING;A;1.292;1.463;2.019;1.719
S947;PC;0,471;FERT;NORM;BARRANQUILLA;1.836;846;1.890;1.137;945;1.284;1.323;1.323;1.323;1.323;SEALING & BONDING;A;826;998;1.377;1.172
S3509;KG;1;FERT;YBLK;BOGOTÁ;16.500;38.100;42.075;25.500;21.750;6.060;24.998;24.998;24.998;24.998;CONCRETE.;A;27.330;15.118;15.118;15.118
S3509;KG;1;FERT;YBLK;ORIENTE;15.375;3.000;20.400;18.000;13.590;21.000;17.530;17.530;17.530;17.530;CONCRETE.;A;18.000;18.000;18.000;5.456
S3509;KG;1;FERT;YBLK;MEDELLÍN;0;12.000;9.000;12.000;12.000;0;8.000;8.000;8.000;8.000;CONCRETE.;A;12.000;12.000;12.000;4.585
S3509;KG;1;FERT;YBLK;CALI;12.000;0;0;0;0;0;2.000;2.000;2.000;2.000;CONCRETE.;A;0;0;0;637
S3509;KG;1;FERT;YBLK;PEREIRA;0;0;0;0;0;0;0;0;0;0;CONCRETE.;A;0;0;0;1.264
S3317;KG;1;FERT;YBLK;SANTANDER;33.000;23.100;36.240;53.700;37.800;30.000;40.500;40.500;40.500;40.500;CONCRETE.;A;43.998;49.504;42.830;42.343
S3317;KG;1;FERT;YBLK;MEDELLÍN;25.500;35.700;24.000;22.500;12.000;28.800;24.750;24.750;24.750;24.750;CONCRETE.;A;20.859;24.760;21.422;21.178
S3317;KG;1;FERT;YBLK;ORIENTE;0;0;0;0;0;0;0;0;0;0;CONCRETE.;A;0;0;0;12
S87;PC;25;FERT;NORM;SANTANDER;56.280;56.640;48.960;44.148;49.260;45.600;50.148;50.148;50.148;50.148;BUILDING FINISHING;A;34.485;36.494;36.511;45.786
S87;PC;25;FERT;NORM;ORIENTE;7.833;4.143;11.997;4.950;10.848;10.308;8.702;8.702;8.702;8.702;BUILDING FINISHING;A;3.975;5.131;5.133;6.437
S87;PC;25;FERT;NORM;CALI;4.653;4.899;6.201;2.787;7.086;6.273;5.382;5.382;5.382;5.382;BUILDING FINISHING;A;6.906;4.746;4.748;5.954
S87;PC;25;FERT;NORM;MEDELLÍN;3.330;690;3.489;390;2.070;2.511;2.080;2.080;2.080;2.080;BUILDING FINISHING;A;4.341;6.900;6.900;6.900
S87;PC;25;FERT;NORM;PEREIRA;2.505;1.689;1.290;447;2.232;2.367;1.755;1.755;1.755;1.755;BUILDING FINISHING;A;1.662;1.279;1.280;1.605
S87;PC;25;FERT;NORM;BARRANQUILLA;2.091;1.182;258;0;936;423;815;815;815;815;BUILDING FINISHING;A;1.500;743;743;932
S87;PC;25;FERT;NORM;BOGOTÁ;126;1.464;210;90;36;570;416;416;416;416;BUILDING FINISHING;A;2.283;686;687;861
S2085;KG;1;FERT;YBLK;SANTANDER;30.900;57.000;33.000;21.000;18.000;33.000;32.150;32.150;32.150;32.150;CONCRETE.;A;45.000;45.000;45.000;41.540
S2085;KG;1;FERT;YBLK;MEDELLÍN;9.300;10.200;12.300;18.900;13.800;24.000;18.900;18.900;18.900;18.900;CONCRETE.;A;9.000;9.000;9.000;7.767
S2085;KG;1;FERT;YBLK;CALI;0;0;7.500;0;0;0;1.250;1.250;1.250;1.250;CONCRETE.;A;0;0;0;613
S2085;KG;1;FERT;YBLK;ORIENTE;0;0;0;0;0;0;0;0;0;0;CONCRETE.;A;0;0;0;12
S3071;KG;1;FERT;YBLK;BARRANQUILLA;59.310;50.610;33.420;47.715;50.943;84.099;60.919;60.919;60.919;60.919;CONCRETE.;A;57.000;57.000;57.000;47.216
S3071;KG;1;FERT;YBLK;BOGOTÁ;3.000;6.000;0;3.000;4.800;0;2.800;2.800;2.800;2.800;CONCRETE.;A;3.000;3.000;3.000;1.892
S3071;KG;1;FERT;YBLK;ORIENTE;15;0;0;0;9.000;0;3.000;3.000;3.000;3.000;CONCRETE.;A;9.000;9.000;9.000;2.482
S3071;KG;1;FERT;YBLK;PEREIRA;6.120;0;0;0;0;0;1.020;1.020;1.020;1.020;CONCRETE.;A;0;0;0;2.193
S3071;KG;1;FERT;YBLK;CALI;0;0;0;0;0;15;5;5;5;5;CONCRETE.;A;0;0;0;396
S3071;KG;1;FERT;YBLK;MEDELLÍN;0;0;0;0;0;0;0;0;0;0;CONCRETE.;A;0;0;0;893
S4103;KG;1;FERT;YBLK;BARRANQUILLA;11.130;15.000;8.400;10.500;2.760;5.280;8.845;8.845;8.845;8.845;CONCRETE.;B;61.152;37.324;0;7.683
S954;PC;0,471;FERT;NORM;BOGOTÁ;18.609;23.631;56.256;15.300;16.212;42.783;28.799;28.799;28.799;28.799;SEALING & BONDING;A;25.061;28.847;16.025;27.919
S954;PC;0,471;FERT;NORM;PEREIRA;10.260;7.776;11.307;5.256;7.284;11.304;8.865;8.865;8.865;8.865;SEALING & BONDING;A;5.276;6.780;3.767;6.562
S954;PC;0,471;FERT;NORM;ORIENTE;8.280;5.736;11.268;3.564;5.589;6.588;6.838;6.838;6.838;6.838;SEALING & BONDING;A;5.030;5.888;3.271;5.699
S954;PC;0,471;FERT;NORM;CALI;4.104;7.344;6.996;1.548;3.672;7.740;5.234;5.234;5.234;5.234;SEALING & BONDING;A;3.537;4.305;2.392;4.167
S954;PC;0,471;FERT;NORM;MEDELLÍN;2.532;2.292;2.412;1.605;1.620;1.476;1.990;1.990;1.990;1.990;SEALING & BONDING;A;2.100;2.400;2.400;2.400
S954;PC;0,471;FERT;NORM;SANTANDER;0;0;0;0;0;0;0;0;0;0;SEALING & BONDING;A;390;367;204;355
